Directory,Original ADR Text,Approx Match - Standard Code,Approx Match - Standard Text,Approx Match - SCT Text,Approx Match - Fuzzy Similarity,Embedding Match - Standard Code,Embedding Match - Standard Text,Embedding Match - SCT Text,Embedding Match - Cosine Similarity
LIPITOR.613,pain,3877011000036101,Lipitor,lipitor,36,76948002,Severe pain,horrible pain in both shoulders,0.4832
LIPITOR.421,dizziness,404640003,Dizziness,dizziness,100,404640003,Dizziness,dizziness,1.0
LIPITOR.421,nausea,422587007,Nausea,nausea,100,422587007,Nausea,nausea,1.0
LIPITOR.421,side effects,68962001,Myalgia,muscle aches,42,422587007,Nausea,nausea,0.4999
LIPITOR.421,side effects,68962001,Myalgia,muscle aches,42,422587007,Nausea,nausea,0.4999
LIPITOR.846,RESIDUAL,76948002,Severe pain,EXTREME PAIN IN SHOULDERS,30,48167000,Amnesia,LOSS OF MEMORY,0.2099
LIPITOR.846,EFFECTS,76948002,Severe pain,EXTREME PAIN IN SHOULDERS,19,48167000,Amnesia,LOSS OF MEMORY,0.2391
LIPITOR.846,YEARS,76948002,Severe pain,EXTREME PAIN IN SHOULDERS,27,48167000,Amnesia,LOSS OF MEMORY,0.158
LIPITOR.846,POISON,48167000,Amnesia,LOSS OF MEMORY,30,48167000,Amnesia,LOSS OF MEMORY,0.1944
ARTHROTEC.17,heavy menstrual bleeding,386692008,Menorrhagia,heavy menstrual bleeding,100,386692008,Menorrhagia,heavy menstrual bleeding,1.0
LIPITOR.481,side effects,267949000,Shoulder joint pain,pain in shoulder joint,29,68962001,Myalgia,deep muscle pain,0.2211
LIPITOR.481,LDL's,68962001,Myalgia,deep muscle pain,19,267949000,Shoulder joint pain,pain in shoulder joint,0.1313
LIPITOR.223,joint pain,57676002,Arthralgia,joint pain,100,57676002,Arthralgia,joint pain,1.0
LIPITOR.223,joint pain,57676002,Arthralgia,joint pain,100,57676002,Arthralgia,joint pain,1.0
LIPITOR.223,pains,22253000,Pain,pains,100,22253000,Pain,pains,1.0
LIPITOR.475,extremely dangerous poison,68962001,Myalgia,inflamatory muscle pain,41,3877011000036101,Lipitor,Lipitor,0.2938
LIPITOR.815,weird dreams,419581008,Bizarre dreams,weird dreams,100,419581008,Bizarre dreams,weird dreams,1.0
LIPITOR.224,side effects,162076009,Excessive upper gastrointestinal gas,GI difficulties,52,248490000,Bloating symptom,Bloating,0.2835
LIPITOR.224,memory,386807006,Memory impairment,memory difficulties,48,386807006,Memory impairment,memory difficulties,0.7122
LIPITOR.224,difficulties,162076009,Excessive upper gastrointestinal gas,GI difficulties,89,162076009,Excessive upper gastrointestinal gas,GI difficulties,0.6146
LIPITOR.224,muscle-joint degeneration,248490000,Bloating symptom,Bloating,36,26544005,Muscle weakness,weakened muscle,0.5565
ARTHROTEC.26,diarrhea,62315008,Diarrhoea,diarrhea,100,62315008,Diarrhoea,diarrhea,1.0
ARTHROTEC.26,nausea,422587007,Nausea,nausea,100,422587007,Nausea,nausea,1.0
ARTHROTEC.26,side effects,79890006,Loss of appetite,loss of apetite,37,422587007,Nausea,nausea,0.4999
ARTHROTEC.26,side effects,79890006,Loss of appetite,loss of apetite,37,422587007,Nausea,nausea,0.4999
ARTHROTEC.26,side effects,79890006,Loss of appetite,loss of apetite,37,422587007,Nausea,nausea,0.4999
ARTHROTEC.26,side effects,79890006,Loss of appetite,loss of apetite,37,422587007,Nausea,nausea,0.4999
ARTHROTEC.26,side effects,79890006,Loss of appetite,loss of apetite,37,422587007,Nausea,nausea,0.4999
ARTHROTEC.3,extreme itching,418290006,Itching,extreme itching on legs and arms,64,418290006,Itching,extreme itching on legs and arms,0.7357
LIPITOR.212,rash,271807003,Rash,rash,100,271807003,Rash,rash,1.0
LIPITOR.212,itch,418290006,Itching,itch,100,418290006,Itching,itch,1.0
LIPITOR.212,side effects,193462001,Insomnia,sleeplessness,40,271807003,Rash,rash,0.3237
CAMBIA.2,nausea,422587007,Nausea,nausea,100,422587007,Nausea,nausea,1.0
CAMBIA.2,bleeding,131148009,Bleeding,bleeding problems,64,131148009,Bleeding,bleeding problems,0.8005
LIPITOR.824,physical,3877011000036101,Lipitor,Lipitor,27,22298006,Myocardial infarction,heart attack,0.2391
LIPITOR.824,psychological,55300003,Muscle cramp,severe muscle cramping,29,225482007,Lacks confidence,destroyed my self-confidence,0.3479
DICLOFENAC-SODIUM.3,diarrhea,62315008,Diarrhoea,diarrhea,100,62315008,Diarrhoea,diarrhea,1.0
DICLOFENAC-SODIUM.3,side effects,16386004,Dry skin,skin is so dry,31,62315008,Diarrhoea,diarrhea,0.372
LIPITOR.215,significant,76948002,Severe pain,severe pain in calves,38,35489007,Depression,depressed,0.2655
LIPITOR.215,spectacular,387603000,Impairment of balance,decrease in balance,33,246636008,Blurred vision - hazy,blured vision,0.2543
LIPITOR.878,side effects,278040002,Loss of hair,hair was falling off,31,8943002,Weight gain,weight gain,0.3189
LIPITOR.878,hair loss,278040002,Loss of hair,hair loss,100,278040002,Loss of hair,hair loss,1.0
LIPITOR.878,weight gain,8943002,Weight gain,weight gain,100,8943002,Weight gain,weight gain,1.0
LIPITOR.878,blurred vision,246636008,Blurred vision - hazy,blurred vision,100,246636008,Blurred vision - hazy,blurred vision,1.0
LIPITOR.878,side effects,278040002,Loss of hair,hair was falling off,31,8943002,Weight gain,weight gain,0.3189
LIPITOR.612,weird toe tingling,62507009,Pins and needles,weird toe tingling,100,62507009,Pins and needles,weird toe tingling,1.0
LIPITOR.282,fainting,271594007,Syncope,fainting spells,70,271594007,Syncope,fainting spells,0.7991
LIPITOR.282,spells,271594007,Syncope,fainting spells,57,271594007,Syncope,fainting spells,0.546
ARTHROTEC.42,nausea,422587007,Nausea,nausea,100,422587007,Nausea,nausea,1.0
ARTHROTEC.42,dizziness,404640003,Dizziness,dizziness,100,404640003,Dizziness,dizziness,1.0
ARTHROTEC.42,nausea,422587007,Nausea,nausea,100,422587007,Nausea,nausea,1.0
LIPITOR.427,PAIN,30989003,Knee pain,KNEE PAIN,62,30989003,Knee pain,KNEE PAIN,0.6209
LIPITOR.427,SEVERE,76948002,Severe pain,SEVERE KNEE PAIN,55,76948002,Severe pain,SEVERE KNEE PAIN,0.4087
LIPITOR.427,HEADACHES,25064002,Headache,HEADACHES,100,25064002,Headache,HEADACHES,1.0
LIPITOR.849,dizzy,404640003,Dizziness,slightly dizzy virtually all the time,24,404640003,Dizziness,slightly dizzy virtually all the time,0.758
LIPITOR.247,hives,247472004,Hives,hives,100,247472004,Hives,hives,1.0
LIPITOR.623,severe arrythmias,698247007,Cardiac arrhythmia,severe arrythmias,100,698247007,Cardiac arrhythmia,severe arrythmias,1.0
LIPITOR.623,side effects,248653008,Dropped beats - heart,skipping heart beats,44,84229001,Fatigue,extreme tiredness,0.3121
LIPITOR.882,side effects,68962001,Myalgia,muscle soreness,44,225013001,Feeling bad,feel bad,0.2963
LIPITOR.882,cholesterol,68962001,Myalgia,muscle soreness,38,3877011000036101,Lipitor,Lipitor,0.4648
LIPITOR.882,tryglycerides,68962001,Myalgia,muscle soreness,36,3877011000036101,Lipitor,Lipitor,0.5264
LIPITOR.882,blood pressure,161891005,Backache,back soreness,44,309774006,Weakness of limb,weak legs,0.2411
LIPITOR.278,side effects,162076009,Excessive upper gastrointestinal gas,gas/wind,30,3877011000036101,Lipitor,Lipitor,0.2098
LIPITOR.825,adverse,35489007,Depression,depression,47,35489007,Depression,depression,0.2524
LIPITOR.825,reactions,35489007,Depression,depression,53,35489007,Depression,depression,0.2349
LIPITOR.825,adverse,35489007,Depression,depression,47,35489007,Depression,depression,0.2524
LIPITOR.825,reactions,35489007,Depression,depression,53,35489007,Depression,depression,0.2349
ARTHROTEC.20,sickness,39104002,Illness,sickness,100,39104002,Illness,sickness,1.0
ARTHROTEC.5,severe side-effects,3723001,Arthritis,arthritis,29,3723001,Arthritis,arthritis,0.1947
LIPITOR.670,complications,22253000,Pain,pain,47,22253000,Pain,pain,0.3763
DICLOFENAC-SODIUM.2,SWELLING,65124004,Swelling,SWELLING,100,65124004,Swelling,SWELLING,1.0
DICLOFENAC-SODIUM.2,SIDE,25064002,Headache,HEADACHE,33,22253000,Pain,PAIN,0.4005
DICLOFENAC-SODIUM.2,EFFECTS,236620008,Infective cystitis,BLADDER INFECTION,42,22253000,Pain,PAIN,0.333
LIPITOR.214,side effects,162076009,Excessive upper gastrointestinal gas,gas/wind,30,267052005,Flatulence/wind,windy,0.1366
ARTHROTEC.27,abortion,17369002,Miscarriage,abortion,100,17369002,Miscarriage,abortion,1.0
LIPITOR.213,side effect,278040002,Loss of hair,hair is getting very thin,28,278040002,Loss of hair,hair loss,0.3019
ARTHROTEC.18,intolerant,426206001,Constant pain,constant pain,43,22253000,Pain,pain,0.3294
CAMBIA.3,vomit,422400008,Vomiting,vomit,100,422400008,Vomiting,vomit,1.0
ARTHROTEC.11,side effects,3384011000036100,Arthrotec,Arthrotec,19,22253000,Pain,pain,0.3189
ARTHROTEC.11,side effects,3384011000036100,Arthrotec,Arthrotec,19,22253000,Pain,pain,0.3189
LIPITOR.473,severe,76948002,Severe pain,severe pain,71,76948002,Severe pain,severe pain,0.7318
LIPITOR.473,severe,76948002,Severe pain,severe pain,71,76948002,Severe pain,severe pain,0.7318
LIPITOR.473,pain,22253000,Pain,pain,100,22253000,Pain,pain,1.0
LIPITOR.225,stomach cramps,51197009,Stomach cramps,stomach cramps,100,51197009,Stomach cramps,stomach cramps,1.0
LIPITOR.225,loose stools,398032003,Loose stool,loose stools,100,398032003,Loose stool,loose stools,1.0
LIPITOR.225,Gas,162076009,Excessive upper gastrointestinal gas,Gas,100,162076009,Excessive upper gastrointestinal gas,Gas,1.0
LIPITOR.225,bloating,248490000,Bloating symptom,bloating,100,248490000,Bloating symptom,bloating,1.0
LIPITOR.225,fatigue,84229001,Fatigue,fatigue,100,84229001,Fatigue,fatigue,1.0
LIPITOR.225,sleep,77692006,Hypersomnia,Just wanted to sleep,40,77692006,Hypersomnia,Just wanted to sleep,0.5953
LIPITOR.222,nausia,422587007,Nausea,nausia,100,422587007,Nausea,nausia,1.0
LIPITOR.222,gas,162076009,Excessive upper gastrointestinal gas,gas,100,162076009,Excessive upper gastrointestinal gas,gas,1.0
LIPITOR.222,side effect,68962001,Myalgia,soreness of muscles,33,22253000,Pain,pain,0.3763
LIPITOR.196,dizziness,404640003,Dizziness,dizziness,100,404640003,Dizziness,dizziness,1.0
LIPITOR.196,lack,248274002,Lack of energy,lack of energy,44,248274002,Lack of energy,lack of energy,0.5202
LIPITOR.196,unexplained sweating,52526003,Sweating problem,unexplained sweating,100,52526003,Sweating problem,unexplained sweating,1.0
LIPITOR.196,side effects,52526003,Sweating problem,unexplained sweating,31,404640003,Dizziness,dizziness,0.3605
LIPITOR.196,dizziness,404640003,Dizziness,dizziness,100,404640003,Dizziness,dizziness,1.0
LIPITOR.196,sever,248274002,Lack of energy,lack of energy,32,52613005,Excessive sweating,pronounced sweating,0.2338
LIPITOR.196,leg muscle pain,68962001,Myalgia,leg muscle pain,100,68962001,Myalgia,leg muscle pain,1.0
LIPITOR.196,swelling,65124004,Swelling,swelling,100,65124004,Swelling,swelling,1.0
LIPITOR.196,pronounced sweating,52613005,Excessive sweating,pronounced sweating,100,52613005,Excessive sweating,pronounced sweating,1.0
VOLTAREN.23,intestinal pain,9991008,Abdominal colic,intestinal pain,100,9991008,Abdominal colic,intestinal pain,1.0
VOLTAREN.23,bleeding,131148009,Bleeding,bleeding,100,131148009,Bleeding,bleeding,1.0
LIPITOR.162,fatigued,13791008,Asthenia,EXTREMELY fatigued,62,13791008,Asthenia,EXTREMELY fatigued,0.894
LIPITOR.961,side effects,235856003,Liver disease,liver disease,40,235856003,Liver disease,liver damage,0.4431
ARTHROTEC.113,nausea,422587007,Nausea,nausea,100,422587007,Nausea,nausea,1.0
ARTHROTEC.113,bleeding,76948002,Severe pain,extreme pain,40,237130006,Bleeding between periods,bleeding and I was on day 12 of my cycle,0.5283
LIPITOR.959,side effects,931804011000036107,omega-3-acid ethyl esters-90,omega 3,21,81680005,Neck pain,neck pain,0.2571
LIPITOR.191,sore,76948002,Severe pain,Severe Hip pain,32,300954003,Pain in calf,calves are sore and tender to the touch,0.513
LIPITOR.191,tender,76948002,Severe pain,Severe Hip pain,29,300954003,Pain in calf,calves are sore and tender to the touch,0.5108
VOLTAREN.24,dizziness,404640003,Dizziness,dizziness,100,404640003,Dizziness,dizziness,1.0
LIPITOR.966,poison,80313002,Palpitations,palpitations,44,271681002,Stomach ache,stomach pain,0.2602
LIPITOR.537,sweating,415690000,Sweating,sweating,100,415690000,Sweating,sweating,1.0
LIPITOR.537,nausea,422587007,Nausea,nausea,100,422587007,Nausea,nausea,1.0
LIPITOR.537,reactions,415690000,Sweating,sweating,59,281016006,Incoordination,problems with coordination,0.3108
LIPITOR.705,side,202482009,Wrist joint pain,wrist joints sore,29,21417011000036105,fenofibrate,Tricor,0.2319
LIPITOR.705,effects,76948002,Severe pain,severe joint pains,32,3877011000036101,Lipitor,Lipitor,0.3291
LIPITOR.705,side,202482009,Wrist joint pain,wrist joints sore,29,21417011000036105,fenofibrate,Tricor,0.2319
LIPITOR.705,effects,76948002,Severe pain,severe joint pains,32,3877011000036101,Lipitor,Lipitor,0.3291
LIPITOR.361,serious,310497006,Severe depression,severe depression,42,82991003,Generalised aches and pains,Aching over my entire body,0.2027
LIPITOR.361,side effects,271587009,Stiffness,stiffness,57,13791008,Asthenia,extreme fatigue,0.2518
LIPITOR.153,dizziness,404640003,Dizziness,dizziness,100,404640003,Dizziness,dizziness,1.0
LIPITOR.153,lightheadedness,386705008,Lightheadedness,lightheadedness,100,386705008,Lightheadedness,lightheadedness,1.0
LIPITOR.153,bloating,248490000,Bloating symptom,bloating,100,248490000,Bloating symptom,bloating,1.0
LIPITOR.153,excess gas,162076009,Excessive upper gastrointestinal gas,excess gas,100,162076009,Excessive upper gastrointestinal gas,excess gas,1.0
LIPITOR.153,mild stiffness,249915009,Hand joint stiff,mild stiffness of my fingers,67,249915009,Hand joint stiff,mild stiffness of my fingers,0.7512
LIPITOR.395,tingling,62507009,Pins and needles,tingling,100,62507009,Pins and needles,tingling,1.0
LIPITOR.395,numbness,44077006,Numbness,numbness,100,44077006,Numbness,numbness,1.0
LIPITOR.395,achiness,22253000,Pain,achiness,100,22253000,Pain,achiness,1.0
LIPITOR.395,swollen,299060006,Swelling of finger,knuckles are so swollen,47,299060006,Swelling of finger,knuckles are so swollen,0.5576
LIPITOR.395,twitching,62507009,Pins and needles,tingling,59,249966004,Spasmodic movement,twitching around my mouth,0.8156
LIPITOR.395,pain,22253000,Pain,pain,100,22253000,Pain,pain,1.0
VOLTAREN.12,side effects,449917004,Cramp in lower limb,leg cramps,36,247347003,Discomfort,discomfort,0.3953
LIPITOR.950,grouchier,55929007,Feeling irritable,a lot grouchier,75,55929007,Feeling irritable,a lot grouchier,0.7982
ARTHROTEC.122,diarrhoa,62315008,Diarrhoea,diarrhoa,100,62315008,Diarrhoea,diarrhoa,1.0
ARTHROTEC.122,menstral bleeding,131148009,Bleeding,bleeding,64,386692008,Menorrhagia,heavy menstral bleeding with clots even though i had just finished my cycle a week before,0.6827
ARTHROTEC.122,blood,131148009,Bleeding,bleeding,46,131148009,Bleeding,bleeding,0.7097
VOLTAREN-XR.18,dizzy,404640003,Dizziness,dizzy,100,404640003,Dizziness,dizzy,1.0
VOLTAREN-XR.18,sleepy,271782001,Drowsy,sleepy,100,271782001,Drowsy,sleepy,1.0
VOLTAREN-XR.18,high,22253000,Pain,pain,25,404640003,Dizziness,dizzy,0.4254
VOLTAREN-XR.20,massive,28551000168108,Voltaren,Voltaren-XR,22,131148009,Bleeding,bleeding,0.1983
VOLTAREN-XR.20,blood,131148009,Bleeding,bleeding,46,131148009,Bleeding,bleeding,0.7097
VOLTAREN-XR.20,bleeding,131148009,Bleeding,bleeding,100,131148009,Bleeding,bleeding,1.0
LIPITOR.392,reaction,161891005,Backache,back pain,47,3877011000036101,Lipitor,Lipitor,0.2997
LIPITOR.968,leg cramps,449917004,Cramp in lower limb,terrible leg cramps,69,449917004,Cramp in lower limb,terrible leg cramps,0.8979
LIPITOR.968,decreased,8357008,Reduced libido,Sex drive has decreased,56,8357008,Reduced libido,Sex drive has decreased,0.4581
LIPITOR.154,suicide,7011001,Hallucinations,hallucinations,29,74732009,Mental disorder,mental illness,0.5437
LIPITOR.154,suicide,7011001,Hallucinations,hallucinations,29,74732009,Mental disorder,mental illness,0.5437
LIPITOR.154,side effects,74732009,Mental disorder,mental illness,31,7011001,Hallucinations,hallucinations,0.2998
LIPITOR.154,suicide,7011001,Hallucinations,hallucinations,29,74732009,Mental disorder,mental illness,0.5437
LIPITOR.154,hallucinations,7011001,Hallucinations,hallucinations,100,7011001,Hallucinations,hallucinations,1.0
LIPITOR.366,EXTREME EXHAUSTION,84946008,Extreme exhaustion,EXTREME EXHAUSTION,100,84946008,Extreme exhaustion,EXTREME EXHAUSTION,1.0
LIPITOR.366,HAD,68962001,Myalgia,MUSCLES ACHED,25,68962001,Myalgia,MUSCLES ACHED,0.2762
LIPITOR.366,PASS OUT,57676002,Arthralgia,JOINTS HURT,42,84946008,Extreme exhaustion,EXTREME EXHAUSTION,0.3547
LIPITOR.702,flatulence,267052005,Flatulence/wind,mild flatuelence,77,267052005,Flatulence/wind,mild flatuelence,0.5457
LIPITOR.24,muscles,129565002,Myopathy,recks my muscles severly,45,129565002,Myopathy,recks my muscles severly,0.6164
ARTHROTEC.125,vomited,422400008,Vomiting,vomited,100,422400008,Vomiting,vomited,1.0
ARTHROTEC.125,severe vaginal bleeding,289530006,Vaginal bleeding,vaginal bleeding,82,289530006,Vaginal bleeding,vaginal bleeding,0.9309
LIPITOR.359,bloating,248490000,Bloating symptom,bloating,100,248490000,Bloating symptom,bloating,1.0
LIPITOR.359,bloating,248490000,Bloating symptom,bloating,100,248490000,Bloating symptom,bloating,1.0
LIPITOR.359,gas,162076009,Excessive upper gastrointestinal gas,gas,100,162076009,Excessive upper gastrointestinal gas,gas,1.0
LIPITOR.359,bloating,248490000,Bloating symptom,bloating,100,248490000,Bloating symptom,bloating,1.0
LIPITOR.359,drowsy,271782001,Drowsy,drowsy,100,271782001,Drowsy,drowsy,1.0
LIPITOR.359,bloating,248490000,Bloating symptom,bloating,100,248490000,Bloating symptom,bloating,1.0
LIPITOR.359,gas,162076009,Excessive upper gastrointestinal gas,gas,100,162076009,Excessive upper gastrointestinal gas,gas,1.0
LIPITOR.359,pain,22253000,Pain,pain,100,22253000,Pain,pain,1.0
LIPITOR.84,muscle,16046003,Muscle rigidity,muscle stiffness,55,16046003,Muscle rigidity,muscle stiffness,0.6091
LIPITOR.84,joint,84445001,Joint stiffness,joint stiffness,50,84445001,Joint stiffness,joint stiffness,0.6301
LIPITOR.84,stiffness,84445001,Joint stiffness,joint stiffness,75,84445001,Joint stiffness,joint stiffness,0.8257
LIPITOR.84,sore,297217002,Rib pain,sore ribs,62,297217002,Rib pain,sore ribs,0.6277
LIPITOR.84,ribs,297217002,Rib pain,sore ribs,62,297217002,Rib pain,sore ribs,0.7763
LIPITOR.84,muscle,16046003,Muscle rigidity,muscle stiffness,55,16046003,Muscle rigidity,muscle stiffness,0.6091
LIPITOR.84,stiffness,84445001,Joint stiffness,joint stiffness,75,84445001,Joint stiffness,joint stiffness,0.8257
LIPITOR.70,side effects,26544005,Muscle weakness,Muscle weakness,44,57676002,Arthralgia,joint pain,0.2606
LIPITOR.70,puffy,299060006,Swelling of finger,fingertips got puffy,40,299060006,Swelling of finger,fingertips got puffy,0.5562
LIPITOR.70,scaly,16386004,Dry skin,fingertips scaly,48,16386004,Dry skin,fingertips scaly,0.6117
LIPITOR.590,glossitis,162076009,Excessive upper gastrointestinal gas,glossitis,100,162076009,Excessive upper gastrointestinal gas,glossitis,1.0
LIPITOR.590,delayed reaction,25064002,Headache,headaches,40,3877011000036101,Lipitor,Liptor,0.2183
LIPITOR.590,glossitis,162076009,Excessive upper gastrointestinal gas,glossitis,100,162076009,Excessive upper gastrointestinal gas,glossitis,1.0
LIPITOR.590,headaches,25064002,Headache,headaches,100,25064002,Headache,headaches,1.0
LIPITOR.590,dizziness,404640003,Dizziness,dizziness,100,404640003,Dizziness,dizziness,1.0
VOLTAREN.41,cramps,55300003,Muscle cramp,cramps,100,55300003,Muscle cramp,cramps,1.0
VOLTAREN.41,diarreah,62315008,Diarrhoea,diarreah,100,62315008,Diarrhoea,diarreah,1.0
LIPITOR.564,relief,65124004,Swelling,swelling,43,62507009,Pins and needles,tingling,0.5331
LIPITOR.564,side effects,76948002,Severe pain,imence pain in feet,39,65124004,Swelling,swelling,0.2761
LIPITOR.904,side effects,473008002,Pain in cheek,Sores on the inner cheeks,38,449917004,Cramp in lower limb,leg cramps,0.2363
LIPITOR.77,blisters,417237009,Blister,blisters,100,417237009,Blister,blisters,1.0
LIPITOR.77,bleed,131148009,Bleeding,bleed,100,131148009,Bleeding,bleed,1.0
LIPITOR.83,cramps,55300003,Muscle cramp,cramps,100,55300003,Muscle cramp,cramps,1.0
LIPITOR.83,cramps,55300003,Muscle cramp,cramps,100,55300003,Muscle cramp,cramps,1.0
LIPITOR.83,mild,55300003,Muscle cramp,cramping,33,55300003,Muscle cramp,cramping,0.2707
LIPITOR.83,cramping,55300003,Muscle cramp,cramping,100,55300003,Muscle cramp,cramping,1.0
LIPITOR.563,side effects,297142003,Foot swelling,swollen feet,50,286641001,Moody,moodiness,0.353
LIPITOR.563,side effects,297142003,Foot swelling,swollen feet,50,286641001,Moody,moodiness,0.353
LIPITOR.48,Terrible muscle and joint pain,68962001,Myalgia,muscle pain,54,57676002,Arthralgia,joint pain,0.7751
LIPITOR.48,Burning sensations,90673000,Burning sensation,Burning sensations in neck,82,90673000,Burning sensation,Burning sensations in neck,0.7515
LIPITOR.48,pain killers,22253000,Pain,pain,50,22253000,Pain,pain,0.6462
VOLTAREN.46,edema,102565005,Oedema of finger,edema of fingers and face,33,102565005,Oedema of finger,edema of fingers and face,0.6938
VOLTAREN.46,fingers,55929007,Feeling irritable,crabbiness,47,102565005,Oedema of finger,edema of fingers and face,0.5185
VOLTAREN.46,face,248490000,Bloating symptom,bloated,36,267036007,Dyspnoea,short of breath,0.3715
VOLTAREN.46,crabbiness,55929007,Feeling irritable,crabbiness,100,55929007,Feeling irritable,crabbiness,1.0
VOLTAREN.46,swollen,28551000168108,Voltaren,Voltaren,53,278528006,Facial swelling,face and fingers are swollen,0.6943
LIPITOR.597,side effects,193462001,Insomnia,severe insomnia,37,193462001,Insomnia,severe insomnia,0.2153
ARTHROTEC.140,inflammation,128139000,Inflammatory disorder,inflammation,100,128139000,Inflammatory disorder,inflammation,1.0
LIPITOR.758,muscle pain,68962001,Myalgia,muscle pain over the entire body,51,68962001,Myalgia,muscle pain over the entire body,0.8629
LIPITOR.793,severe,162076009,Excessive upper gastrointestinal gas,General fatigue,38,3723001,Arthritis,arthritis,0.3343
LIPITOR.793,swolen/inflamation,448589005,Arthritis of hand,severe swolen/inflamation of the fingers/hand,57,448589005,Arthritis of hand,severe swolen/inflamation of the fingers/hands,0.7528
LIPITOR.793,severe,162076009,Excessive upper gastrointestinal gas,General fatigue,38,3723001,Arthritis,arthritis,0.3343
LIPITOR.793,swolen/inflamation,448589005,Arthritis of hand,severe swolen/inflamation of the fingers/hand,57,448589005,Arthritis of hand,severe swolen/inflamation of the fingers/hands,0.7528
LIPITOR.599,side,449917004,Cramp in lower limb,cramps in thigh,21,449917004,Cramp in lower limb,cramps in thigh,0.1359
LIPITOR.599,effects,449917004,Cramp in lower limb,cramps in thigh,18,449917004,Cramp in lower limb,cramps in thigh,0.0651
LIPITOR.109,gas,162076009,Excessive upper gastrointestinal gas,gas,100,162076009,Excessive upper gastrointestinal gas,gas,1.0
LIPITOR.109,tummy pains,271681002,Stomach ache,tummy pains,100,271681002,Stomach ache,tummy pains,1.0
LIPITOR.794,effects,249938007,Weakness of back,in back weakness,26,3877011000036101,Lipitor,lipitor,0.3291
LIPITOR.794,toxic,3877011000036101,Lipitor,lipitor,33,249938007,Weakness of back,in back weakness,0.2929
LIPITOR.304,severe,76948002,Severe pain,severe pains,67,76948002,Severe pain,severe pains,0.5605
LIPITOR.304,muscle,68962001,Myalgia,muscle pains,67,68962001,Myalgia,muscle pains,0.547
