Filename,Original ADR Text,Approx Match - Standard Code,Approx Match - Standard Text,Approx Match - SCT Text,Approx Match - Fuzzy Similarity,Embedding Match - Standard Code,Embedding Match - Standard Text,Embedding Match - SCT Text,Embedding Match - Cosine Similarity
LIPITOR.772.ann,numbness and tingling in my hands,309521004,Numbness of hand,numbness and tingling in my hands,100,309521004,Numbness of hand,numbness and tingling in my hands,1.0
LIPITOR.772.ann,wieght gain,8943002,Weight gain,wieght gain,100,8943002,Weight gain,wieght gain,1.0
LIPITOR.42.ann,stiff upper leg,225609009,Stiff legs,stiff upper leg,100,225609009,Stiff legs,stiff upper leg,1.0
LIPITOR.42.ann,stiff quad area,225609009,Stiff legs,stiff quad area,100,225609009,Stiff legs,stiff quad area,1.0
LIPITOR.42.ann,chest pain left side,29857009,Chest pain,chest pain left side,100,29857009,Chest pain,chest pain left side,1.0
LIPITOR.982.ann,headache,25064002,Headache,headache,100,25064002,Headache,headache,1.0
LIPITOR.982.ann,insomnia,193462001,Insomnia,insomnia,100,193462001,Insomnia,insomnia,1.0
LIPITOR.982.ann,sore hip(tightIT band),49218002,Hip pain,sore hip(tightIT band),100,49218002,Hip pain,sore hip(tightIT band),1.0
LIPITOR.982.ann,depression,35489007,Depression,depression,100,35489007,Depression,depression,1.0
LIPITOR.996.ann,unexplained cough,49727002,Cough,unexplained cough,100,49727002,Cough,unexplained cough,1.0
LIPITOR.996.ann,cough,49727002,Cough,cough,100,49727002,Cough,cough,1.0
LIPITOR.996.ann,cough,49727002,Cough,cough,100,49727002,Cough,cough,1.0
LIPITOR.996.ann,cough heavily,49727002,Cough,cough heavily,100,49727002,Cough,cough heavily,1.0
LIPITOR.564.ann,imence pain in calf,76948002,Severe pain,imence pain in calf,100,76948002,Severe pain,imence pain in calf,1.0
LIPITOR.564.ann,imence pain in feet,76948002,Severe pain,imence pain in feet,100,76948002,Severe pain,imence pain in feet,1.0
LIPITOR.564.ann,imence pain in legs,76948002,Severe pain,imence pain in legs,100,76948002,Severe pain,imence pain in legs,1.0
LIPITOR.564.ann,cramping in feet,102551008,Cramp in foot,cramping in feet,100,102551008,Cramp in foot,cramping in feet,1.0
LIPITOR.564.ann,cramping in toes,102551008,Cramp in foot,cramping in toes,100,102551008,Cramp in foot,cramping in toes,1.0
LIPITOR.564.ann,cramping in legs,449917004,Cramp in lower limb,cramping in legs,100,449917004,Cramp in lower limb,cramping in legs,1.0
LIPITOR.564.ann,armpain,102556003,Pain in upper limb,armpain,100,102556003,Pain in upper limb,armpain,1.0
LIPITOR.564.ann,swelling,65124004,Swelling,swelling,100,65124004,Swelling,swelling,1.0
LIPITOR.564.ann,extreme heaviness in limbs,373931001,Sensation of heaviness in limbs,extreme heaviness in limbs,100,373931001,Sensation of heaviness in limbs,extreme heaviness in limbs,1.0
LIPITOR.564.ann,backache,161891005,Backache,backache,100,161891005,Backache,backache,1.0
LIPITOR.564.ann,bloody noes,249366005,Bleeding from nose,bloody noes,100,249366005,Bleeding from nose,bloody noes,1.0
LIPITOR.564.ann,high cpk,432352001,Increased creatine kinase level,high cpk,100,432352001,Increased creatine kinase level,high cpk,1.0
LIPITOR.564.ann,short term memory is terrible,247592009,Poor short-term memory,short term memory is terrible,100,247592009,Poor short-term memory,short term memory is terrible,1.0
LIPITOR.564.ann,confusion,40917007,Confusion,confusion,100,40917007,Confusion,confusion,1.0
LIPITOR.564.ann,tingling,62507009,Pins and needles,tingling,100,62507009,Pins and needles,tingling,1.0
LIPITOR.564.ann,buzzing in limbs,101000119102,Numbness and tingling sensation of skin,buzzing in limbs,100,101000119102,Numbness and tingling sensation of skin,buzzing in limbs,1.0
LIPITOR.564.ann,big time depression,35489007,Depression,big time depression,100,35489007,Depression,big time depression,1.0
LIPITOR.202.ann,achy muscles,68962001,Myalgia,achy muscles,100,68962001,Myalgia,achy muscles,1.0
LIPITOR.216.ann,pain in my neck,81680005,Neck pain,pain in my neck,100,81680005,Neck pain,pain in my neck,1.0
LIPITOR.216.ann,high blood pressure,69791001,Increased venous pressure,high blood pressure,100,69791001,Increased venous pressure,high blood pressure,1.0
LIPITOR.216.ann,insomina,193462001,Insomnia,insomina,100,193462001,Insomnia,insomina,1.0
LIPITOR.216.ann,blurred thinking,247640008,Unable to think clearly,blurred thinking,100,247640008,Unable to think clearly,blurred thinking,1.0
LIPITOR.216.ann,sinus pain,4969004,Sinus pain,sinus pain,100,4969004,Sinus pain,sinus pain,1.0
LIPITOR.216.ann,pain,22253000,Pain,pain,100,22253000,Pain,pain,1.0
LIPITOR.216.ann,high blood pressure,69791001,Increased venous pressure,high blood pressure,100,69791001,Increased venous pressure,high blood pressure,1.0
LIPITOR.216.ann,memory loss,48167000,Amnesia,memory loss,100,48167000,Amnesia,memory loss,1.0
LIPITOR.216.ann,dizzines,404640003,Dizziness,dizzines,100,404640003,Dizziness,dizzines,1.0
LIPITOR.216.ann,pain in neck,81680005,Neck pain,pain in neck,100,81680005,Neck pain,pain in neck,1.0
LIPITOR.216.ann,pain in back,161891005,Backache,pain in back,100,161891005,Backache,pain in back,1.0
LIPITOR.570.ann,Muscle Pain in left arm,288228002,Myalgia/myositis - forearm,Muscle Pain in left arm,100,288228002,Myalgia/myositis - forearm,Muscle Pain in left arm,1.0
LIPITOR.570.ann,Muscle Pain in upper back,279038004,Thoracic back pain,Muscle Pain in upper back,100,279038004,Thoracic back pain,Muscle Pain in upper back,1.0
LIPITOR.570.ann,Hair loss,278040002,Loss of hair,Hair loss,100,278040002,Loss of hair,Hair loss,1.0
LIPITOR.570.ann,muscle pain,68962001,Myalgia,muscle pain,100,68962001,Myalgia,muscle pain,1.0
LIPITOR.570.ann,hair dryness,79395009,Dry hair,hair dryness,100,79395009,Dry hair,hair dryness,1.0
LIPITOR.570.ann,hair breakage,79395009,Dry hair,hair dryness,56,278040002,Loss of hair,Hair loss,0.6604
LIPITOR.570.ann,hair loss,278040002,Loss of hair,Hair loss,100,278040002,Loss of hair,Hair loss,1.0
LIPITOR.570.ann,Hair breakage,79395009,Dry hair,hair dryness,56,278040002,Loss of hair,Hair loss,0.6604
LIPITOR.570.ann,hair loss,278040002,Loss of hair,Hair loss,100,278040002,Loss of hair,Hair loss,1.0
VOLTAREN.31.ann,stomach upset,162059005,Upset stomach,stomach upset,100,162059005,Upset stomach,stomach upset,1.0
VOLTAREN.31.ann,dehydration,34095006,Dehydration,dehydration,100,34095006,Dehydration,dehydration,1.0
LIPITOR.558.ann,constant gas,162076009,Excessive upper gastrointestinal gas,constant gas,100,162076009,Excessive upper gastrointestinal gas,constant gas,1.0
LIPITOR.558.ann,diarrhea,62315008,Diarrhoea,diarrhea,100,62315008,Diarrhoea,diarrhea,1.0
VOLTAREN.25.ann,allergic reaction,419076005,Allergic reaction,allergic reaction,100,419076005,Allergic reaction,allergic reaction,1.0
VOLTAREN.25.ann,lips started to swell,699376002,Lip swelling,lips started to swell,100,699376002,Lip swelling,lips started to swell,1.0
VOLTAREN.25.ann,skin felt like it was moving,162076009,Excessive upper gastrointestinal gas,genitals and lips excruciating,38,275921007,Scalp itchy,itch on my head,0.379
VOLTAREN.25.ann,itch on my head,275921007,Scalp itchy,itch on my head,100,275921007,Scalp itchy,itch on my head,1.0
VOLTAREN.25.ann,genitals and lips excruciating,162076009,Excessive upper gastrointestinal gas,genitals and lips excruciating,100,162076009,Excessive upper gastrointestinal gas,genitals and lips excruciating,1.0
LIPITOR.389.ann,memory loss,48167000,Amnesia,memory loss,100,48167000,Amnesia,memory loss,1.0
LIPITOR.389.ann,hair loss,278040002,Loss of hair,hair loss,100,278040002,Loss of hair,hair loss,1.0
LIPITOR.389.ann,muscle spasms,55300003,Muscle cramp,muscle spasms,100,55300003,Muscle cramp,muscle spasms,1.0
LIPITOR.389.ann,odd blood sugar pattern,79890006,Loss of appetite,lack of appetite,41,84229001,Fatigue,extreme tiredness,0.3239
LIPITOR.389.ann,sciatic pain,23056005,Sciatica,sciatic pain,100,23056005,Sciatica,sciatic pain,1.0
LIPITOR.389.ann,back pain,161891005,Backache,back pain,100,161891005,Backache,back pain,1.0
LIPITOR.389.ann,hip pain,49218002,Hip pain,hip pain,100,49218002,Hip pain,hip pain,1.0
LIPITOR.389.ann,loss of feeling in toes,309087008,Paraesthesia of foot,loss of feeling in toes,100,309087008,Paraesthesia of foot,loss of feeling in toes,1.0
LIPITOR.389.ann,dizziness,404640003,Dizziness,dizziness,100,404640003,Dizziness,dizziness,1.0
LIPITOR.389.ann,vision problems,63102001,Visual disturbance,vision problems,100,63102001,Visual disturbance,vision problems,1.0
LIPITOR.389.ann,extreme tiredness,84229001,Fatigue,extreme tiredness,100,84229001,Fatigue,extreme tiredness,1.0
LIPITOR.389.ann,lack of appetite,79890006,Loss of appetite,lack of appetite,100,79890006,Loss of appetite,lack of appetite,1.0
LIPITOR.389.ann,no enthusaism,247753000,Loss of interest,no enthusaism,100,247753000,Loss of interest,no enthusaism,1.0
LIPITOR.389.ann,muscle cramps,55300003,Muscle cramp,muscle cramps,100,55300003,Muscle cramp,muscle cramps,1.0
LIPITOR.389.ann,dizziness,404640003,Dizziness,dizziness,100,404640003,Dizziness,dizziness,1.0
LIPITOR.410.ann,slight swelling of cheeks,278528006,Facial swelling,slight swelling of cheeks,100,278528006,Facial swelling,slight swelling of cheeks,1.0
LIPITOR.410.ann,Facial swelling,278528006,Facial swelling,Facial swelling,100,278528006,Facial swelling,Facial swelling,1.0
ARTHROTEC.38.ann,Upset stomach,162059005,Upset stomach,Upset stomach,100,162059005,Upset stomach,Upset stomach,1.0
ARTHROTEC.38.ann,nausea,422587007,Nausea,nausea,100,422587007,Nausea,nausea,1.0
ARTHROTEC.38.ann,vomiting,422400008,Vomiting,vomiting,100,422400008,Vomiting,vomiting,1.0
ARTHROTEC.38.ann,abdominal pain,21522001,Abdominal pain,abdominal pain,100,21522001,Abdominal pain,abdominal pain,1.0
ARTHROTEC.38.ann,constipation,14760008,Constipation,constipation,100,14760008,Constipation,constipation,1.0
ARTHROTEC.38.ann,loose bowels,398032003,Loose stool,loose bowels,100,398032003,Loose stool,loose bowels,1.0
ARTHROTEC.38.ann,excessive hot flashes,238810007,Flushing,excessive hot flashes,100,238810007,Flushing,excessive hot flashes,1.0
ARTHROTEC.38.ann,night sweats,42984000,Night sweats,night sweats,100,42984000,Night sweats,night sweats,1.0
ARTHROTEC.38.ann,blurred vision,246636008,Blurred vision - hazy,blurred vision,100,246636008,Blurred vision - hazy,blurred vision,1.0
ARTHROTEC.38.ann,chest discomfort,279084009,Chest discomfort,chest discomfort,100,279084009,Chest discomfort,chest discomfort,1.0
ARTHROTEC.38.ann,irritability,55929007,Feeling irritable,irritability,100,55929007,Feeling irritable,irritability,1.0
LIPITOR.376.ann,Memory loss,48167000,Amnesia,Memory loss,100,48167000,Amnesia,Memory loss,1.0
LIPITOR.376.ann,ability to concentrate,60032008,Unable to concentrate,ability to concentrate,100,60032008,Unable to concentrate,ability to concentrate,1.0
LIPITOR.376.ann,muscle pain,68962001,Myalgia,muscle pain,100,68962001,Myalgia,muscle pain,1.0
LIPITOR.376.ann,memory loss,48167000,Amnesia,Memory loss,100,48167000,Amnesia,Memory loss,1.0
LIPITOR.376.ann,ability to concentrate,60032008,Unable to concentrate,ability to concentrate,100,60032008,Unable to concentrate,ability to concentrate,1.0
LIPITOR.362.ann,LEG CRAMPS,449917004,Cramp in lower limb,LEG CRAMPS,100,449917004,Cramp in lower limb,LEG CRAMPS,1.0
LIPITOR.362.ann,UNABLE TO WALK,282145008,Unable to walk,UNABLE TO WALK,100,282145008,Unable to walk,UNABLE TO WALK,1.0
LIPITOR.362.ann,VERTIGO,399153001,Vertigo,VERTIGO,100,399153001,Vertigo,VERTIGO,1.0
LIPITOR.362.ann,NECK MUSCEL PROBLEMS,129565002,Disorder of muscle,NECK MUSCEL PROBLEMS,100,129565002,Disorder of muscle,NECK MUSCEL PROBLEMS,1.0
LIPITOR.362.ann,EXTREME ZOMBIE LIKE STATE,84229001,Fatigue,EXTREME TIREDNESS,57,84229001,Fatigue,EXTREME TIREDNESS,0.2773
LIPITOR.362.ann,EXTREME TIREDNESS,84229001,Fatigue,EXTREME TIREDNESS,100,84229001,Fatigue,EXTREME TIREDNESS,1.0
LIPITOR.362.ann,PARTIAL LOSS OF SIGHT,361122008,Impairment level of vision,PARTIAL LOSS OF SIGHT,100,361122008,Impairment level of vision,PARTIAL LOSS OF SIGHT,1.0
LIPITOR.362.ann,VERTIGO,399153001,Vertigo,VERTIGO,100,399153001,Vertigo,VERTIGO,1.0
LIPITOR.362.ann,SEX DRIVE GONE,248096004,Lack of libido,SEX DRIVE GONE,100,248096004,Lack of libido,SEX DRIVE GONE,1.0
LIPITOR.362.ann,LOSS OF HAIR,278040002,Loss of hair,LOSS OF HAIR,100,278040002,Loss of hair,LOSS OF HAIR,1.0
LIPITOR.362.ann,MUSCEL PAIN,68962001,Myalgia,MUSCEL PAIN,100,68962001,Myalgia,MUSCEL PAIN,1.0
LIPITOR.362.ann,PAIN,22253000,Pain,PAIN,100,22253000,Pain,PAIN,1.0
LIPITOR.362.ann,VERTIGO,399153001,Vertigo,VERTIGO,100,399153001,Vertigo,VERTIGO,1.0
LIPITOR.362.ann,CRAMPS,55300003,Muscle cramp,CRAMPS,100,55300003,Muscle cramp,CRAMPS,1.0
ARTHROTEC.10.ann,Hunger pangs,162043005,Hunger pain,Hunger pangs,100,162043005,Hunger pain,Hunger pangs,1.0
LIPITOR.809.ann,Could not get to sleep,59050008,Initial insomnia,Could not get to sleep,100,59050008,Initial insomnia,Could not get to sleep,1.0
LIPITOR.809.ann,Diarrhea,62315008,Diarrhoea,Diarrhea,100,62315008,Diarrhoea,Diarrhea,1.0
LIPITOR.809.ann,I didn't feel right,367391008,Malaise,I didn't feel right,100,367391008,Malaise,I didn't feel right,1.0
LIPITOR.835.ann,muscular pain in the back,161891005,Backache,muscular pain in the back,100,161891005,Backache,muscular pain in the back,1.0
LIPITOR.821.ann,decreased libido,8357008,Reduced libido,decreased libido,100,8357008,Reduced libido,decreased libido,1.0
LIPITOR.821.ann,lost a lot of muscle and replacedit with fat,88092000,Muscle atrophy,lost a lot of muscle and replacedit with fat,100,88092000,Muscle atrophy,lost a lot of muscle and replacedit with fat,1.0
LIPITOR.821.ann,dioreaha,62315008,Diarrhoea,dioreaha,100,62315008,Diarrhoea,dioreaha,1.0
LIPITOR.821.ann,muscle pain just below shoulder blades,288226003,Myalgia/myositis - shoulder,muscle pain just below shoulder blades,100,288226003,Myalgia/myositis - shoulder,muscle pain just below shoulder blades,1.0
LIPITOR.821.ann,muscle pain in back,161891005,Backache,muscle pain in back,100,161891005,Backache,muscle pain in back,1.0
LIPITOR.821.ann,headaches,25064002,Headache,headaches,100,25064002,Headache,headaches,1.0
LIPITOR.821.ann,doesnt sleep very well at night,301345002,Difficulty sleeping,doesnt sleep very well at night,100,301345002,Difficulty sleeping,doesnt sleep very well at night,1.0
LIPITOR.821.ann,gets tired a lot,162076009,Excessive upper gastrointestinal gas,gets tired a lot,100,162076009,Excessive upper gastrointestinal gas,gets tired a lot,1.0
LIPITOR.174.ann,Joint pain,57676002,Arthralgia,Joint pain,100,57676002,Arthralgia,Joint pain,1.0
LIPITOR.174.ann,joint pain,57676002,Arthralgia,Joint pain,100,57676002,Arthralgia,Joint pain,1.0
LIPITOR.612.ann,Pain along front and outer side of shins,278999000,Skin tenderness,tender to the touch,34,230645003,Compression neuropathy of trunk,pinched nerve in my back,0.458
LIPITOR.612.ann,tender to the touch,278999000,Skin tenderness,tender to the touch,100,278999000,Skin tenderness,tender to the touch,1.0
LIPITOR.612.ann,weird toe tingling,62507009,Pins and needles,weird toe tingling,100,62507009,Pins and needles,weird toe tingling,1.0
LIPITOR.612.ann,muscle pain,68962001,Myalgia,muscle pain,100,68962001,Myalgia,muscle pain,1.0
LIPITOR.606.ann,leg pain,10601006,Pain in lower limb,leg pain,100,10601006,Pain in lower limb,leg pain,1.0
LIPITOR.606.ann,soreness in muscles,68962001,Myalgia,soreness in muscles,100,68962001,Myalgia,soreness in muscles,1.0
LIPITOR.606.ann,tiredness,267031002,Tiredness symptom,tiredness,100,267031002,Tiredness symptom,tiredness,1.0
LIPITOR.606.ann,pain in my my left leg,287047008,Pain in left leg,pain in my my left leg,100,287047008,Pain in left leg,pain in my my left leg,1.0
LIPITOR.160.ann,joint pain,57676002,Arthralgia,joint pain,100,57676002,Arthralgia,joint pain,1.0
LIPITOR.160.ann,fatigue,84229001,Fatigue,fatigue,100,84229001,Fatigue,fatigue,1.0
LIPITOR.160.ann,pain,22253000,Pain,pain,100,22253000,Pain,pain,1.0
LIPITOR.148.ann,muscle pain,68962001,Myalgia,muscle pain,100,68962001,Myalgia,muscle pain,1.0
CATAFLAM.1.ann,rectal bleeding,12063002,Rectal haemorrhage,rectal bleeding,100,12063002,Rectal haemorrhage,rectal bleeding,1.0
CATAFLAM.1.ann,collapse,271787007,Collapse,collapse,100,271787007,Collapse,collapse,1.0
CATAFLAM.1.ann,GI hemmorage,162076009,Excessive upper gastrointestinal gas,GI hemmorage,100,162076009,Excessive upper gastrointestinal gas,GI hemmorage,1.0
LIPITOR.149.ann,pain,22253000,Pain,pain,100,22253000,Pain,pain,1.0
LIPITOR.149.ann,headaches,25064002,Headache,headaches,100,25064002,Headache,headaches,1.0
LIPITOR.149.ann,headaches,25064002,Headache,headaches,100,25064002,Headache,headaches,1.0
LIPITOR.149.ann,stomache aches,271681002,Stomach ache,stomache aches,100,271681002,Stomach ache,stomache aches,1.0
LIPITOR.149.ann,anxiety,48694002,Anxiety,anxiety,100,48694002,Anxiety,anxiety,1.0
LIPITOR.149.ann,servere pain,76948002,Severe pain,servere pain,100,76948002,Severe pain,servere pain,1.0
LIPITOR.149.ann,extremely tired,224960004,Tired,extremely tired,100,224960004,Tired,extremely tired,1.0
LIPITOR.149.ann,pain,22253000,Pain,pain,100,22253000,Pain,pain,1.0
LIPITOR.149.ann,unable to sleep,248255005,Cannot sleep at all,unable to sleep,100,248255005,Cannot sleep at all,unable to sleep,1.0
LIPITOR.161.ann,muscle ache,68962001,Myalgia,muscle ache,100,68962001,Myalgia,muscle ache,1.0
LIPITOR.175.ann,rapid shallow breathing,248581005,Rapid shallow breathing,rapid shallow breathing,100,248581005,Rapid shallow breathing,rapid shallow breathing,1.0
LIPITOR.175.ann,fatigue,84229001,Fatigue,fatigue,100,84229001,Fatigue,fatigue,1.0
LIPITOR.175.ann,disorientation,62476001,Disorientated,disorientation,100,62476001,Disorientated,disorientation,1.0
LIPITOR.175.ann,slightly blurred vision,246636008,Blurred vision - hazy,slightly blurred vision,100,246636008,Blurred vision - hazy,slightly blurred vision,1.0
LIPITOR.175.ann,erectile disfunction,397803000,Erectile dysfunction,erectile disfunction,100,397803000,Erectile dysfunction,erectile disfunction,1.0
LIPITOR.175.ann,muscle pain,68962001,Myalgia,muscle pain,100,68962001,Myalgia,muscle pain,1.0
LIPITOR.613.ann,horrible pain in left knee,76948002,Severe pain,horrible pain in left knee,100,76948002,Severe pain,horrible pain in left knee,1.0
LIPITOR.613.ann,horrible pain in both shoulders,76948002,Severe pain,horrible pain in both shoulders,100,76948002,Severe pain,horrible pain in both shoulders,1.0
LIPITOR.613.ann,short term memory loss,247592009,Poor short-term memory,short term memory loss,100,247592009,Poor short-term memory,short term memory loss,1.0
LIPITOR.613.ann,easily fatigued,248268002,Tires quickly,easily fatigued,100,248268002,Tires quickly,easily fatigued,1.0
LIPITOR.820.ann,fingers hurt,18876004,Pain in finger,fingers hurt,100,18876004,Pain in finger,fingers hurt,1.0
LIPITOR.820.ann,fingers swelled up,299060006,Swelling of finger,fingers swelled up,100,299060006,Swelling of finger,fingers swelled up,1.0
LIPITOR.820.ann,joints in my hands hurt,202472008,Hand joint pain,joints in my hands hurt,100,202472008,Hand joint pain,joints in my hands hurt,1.0
LIPITOR.820.ann,knee hurt,30989003,Knee pain,knee hurt,100,30989003,Knee pain,knee hurt,1.0
LIPITOR.820.ann,hurt to bend my knee,299377003,Knee joint painful on movement,hurt to bend my knee,100,299377003,Knee joint painful on movement,hurt to bend my knee,1.0
LIPITOR.820.ann,joint pain,57676002,Arthralgia,joint pain,100,57676002,Arthralgia,joint pain,1.0
LIPITOR.834.ann,tunnel vision,420990001,Tunnel vision,tunnel vision,100,420990001,Tunnel vision,tunnel vision,1.0
LIPITOR.834.ann,vertigo,399153001,Vertigo,vertigo,100,399153001,Vertigo,vertigo,1.0
LIPITOR.834.ann,tingling hands,62507009,Pins and needles,tingling hands,100,62507009,Pins and needles,tingling hands,1.0
LIPITOR.834.ann,numbness hands,309521004,Numbness of hand,numbness hands,100,309521004,Numbness of hand,numbness hands,1.0
LIPITOR.834.ann,tingling legs,62507009,Pins and needles,tingling legs,100,62507009,Pins and needles,tingling legs,1.0
LIPITOR.834.ann,tingling face,62507009,Pins and needles,tingling face,100,62507009,Pins and needles,tingling face,1.0
LIPITOR.834.ann,numbness legs,309537005,Numbness of lower limb,numbness legs,100,309537005,Numbness of lower limb,numbness legs,1.0
LIPITOR.834.ann,numbness face,309557009,Numbness of face,numbness face,100,309557009,Numbness of face,numbness face,1.0
